kuznia1_KNN_4_distanceAlgorithm_PROBABILITY_APLENGTH_7_Algorithms_1_1_MAGNETIC
MEAN
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 20/49 8/49 8/49
PROCENT_PUNKTOW_ODNIESIENIA 40.816326530612244 16.3265306122449 16.3265306122449
LISTA_PUNKTOW_ODNIESIENIA a,b,d,n,9,y,7,aa,11,ad,3,af,ag,ak,al,an,ao,10,2,6, a,11,3,af,ag,ak,ao,10, a,11,3,af,ag,ak,ao,10,
MAX
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 21/49 7/49 7/49
PROCENT_PUNKTOW_ODNIESIENIA 42.857142857142854 14.285714285714285 14.285714285714285
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,n,9,y,7,aa,11,ad,3,af,ag,ak,al,an,ao,10,2,6, a,3,af,ag,ak,ao,10, a,3,af,ag,ak,ao,10,
MIN
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 9/49 9/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 18.367346938775512 18.367346938775512
LISTA_PUNKTOW_ODNIESIENIA a,b,d,n,9,y,7,aa,11,ad,3,af,ag,aj,ak,al,am,an,ao,10,1,2,4,6, a,11,3,af,ag,ak,ao,10,1, a,11,3,af,ag,ak,ao,10,1,
MEDIANA
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 21/49 7/49 7/49
PROCENT_PUNKTOW_ODNIESIENIA 42.857142857142854 14.285714285714285 14.285714285714285
LISTA_PUNKTOW_ODNIESIENIA a,b,d,n,9,y,7,aa,11,ad,3,af,ag,aj,ak,al,an,ao,10,2,6, a,3,af,ag,ak,ao,10, a,3,af,ag,ak,ao,10,
MODE
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 10/49 10/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 20.408163265306122 20.408163265306122
LISTA_PUNKTOW_ODNIESIENIA a,b,d,h,n,9,y,7,aa,11,ad,3,af,ag,aj,ak,al,an,ao,10,1,2,4,6, a,h,11,3,af,ag,ak,ao,10,1, a,h,11,3,af,ag,ak,ao,10,1,
PERCENTILE-10
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 23/49 10/49 10/49
PROCENT_PUNKTOW_ODNIESIENIA 46.93877551020408 20.408163265306122 20.408163265306122
LISTA_PUNKTOW_ODNIESIENIA a,b,d,h,n,y,7,aa,11,ad,3,af,ag,aj,ak,al,am,an,ao,10,1,2,6, a,h,11,3,af,ag,ak,ao,10,1, a,h,11,3,af,ag,ak,ao,10,1,
PERCENTILE-20
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 10/49 10/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 20.408163265306122 20.408163265306122
LISTA_PUNKTOW_ODNIESIENIA a,b,d,h,n,9,y,7,aa,11,ad,3,af,ag,aj,ak,al,am,an,ao,10,1,2,6, a,h,11,3,af,ag,ak,ao,10,1, a,h,11,3,af,ag,ak,ao,10,1,
PERCENTILE-50
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 21/49 7/49 7/49
PROCENT_PUNKTOW_ODNIESIENIA 42.857142857142854 14.285714285714285 14.285714285714285
LISTA_PUNKTOW_ODNIESIENIA a,b,d,n,9,y,7,aa,11,ad,3,af,ag,aj,ak,al,an,ao,10,2,6, a,3,af,ag,ak,ao,10, a,3,af,ag,ak,ao,10,
PERCENTILE-70
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 20/49 7/49 7/49
PROCENT_PUNKTOW_ODNIESIENIA 40.816326530612244 14.285714285714285 14.285714285714285
LISTA_PUNKTOW_ODNIESIENIA a,b,d,n,9,y,7,aa,11,ad,3,af,ag,ak,al,an,ao,10,2,6, a,3,af,ag,ak,ao,10, a,3,af,ag,ak,ao,10,
PERCENTILE-90
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 20/49 7/49 7/49
PROCENT_PUNKTOW_ODNIESIENIA 40.816326530612244 14.285714285714285 14.285714285714285
LISTA_PUNKTOW_ODNIESIENIA a,b,d,n,9,y,7,aa,11,ad,3,af,ag,ak,al,an,ao,10,2,6, a,3,af,ag,ak,ao,10, a,3,af,ag,ak,ao,10,
kuznia1_KNN_4_distanceAlgorithm_PROBABILITY_APLENGTH_7_Algorithms_1_1_RSSI
MEAN
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
MAX
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
MIN
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
MEDIANA
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
MODE
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
PERCENTILE-10
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
PERCENTILE-20
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
PERCENTILE-50
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
PERCENTILE-70
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
PERCENTILE-90
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 24/49 1/49 1/49
PROCENT_PUNKTOW_ODNIESIENIA 48.97959183673469 2.0408163265306123 2.0408163265306123
LISTA_PUNKTOW_ODNIESIENIA a,b,c,d,j,l,n,9,y,7,aa,13,11,ad,3,af,ag,ai,ak,al,am,an,10,2, b, b,
