kuznia1 KNN 3 distanceAlgorithm PROBABILITY PERCENT 0-2 Algorithms list sorting MAGNETIC;;;
 ŚREDNIA;;;
;X;Y;XY
LICZBA PUNKTÓW ODNIESIENIA;13/49;4/49;4/49
PROCENT PUNKTÓW ODNIESIENIA;26.53;8.16;8.16
LISTA PUNKTÓW ODNIESIENIA;,a,,c,,y,,7,,aa,,ac,,ad,,ae,,3,,ah,,ao,,ap,,6,,,;,a,,c,,ao,,ap,,,;,a,,c,,ao,,ap,,,
MAX;;;
;X;Y;XY
LICZBA PUNKTÓW ODNIESIENIA;14/49;5/49;5/49
PROCENT PUNKTÓW ODNIESIENIA;28.57;10.20;10.20
LISTA PUNKTÓW ODNIESIENIA;,a,,c,,y,,7,,aa,,ac,,ad,,ae,,3,,ah,,ai,,ao,,ap,,6,,,;,a,,c,,ai,,ao,,ap,,,;,a,,c,,ai,,ao,,ap,,,
MIN;;;
;X;Y;XY
LICZBA PUNKTÓW ODNIESIENIA;13/49;4/49;4/49
PROCENT PUNKTÓW ODNIESIENIA;26.53;8.16;8.16
LISTA PUNKTÓW ODNIESIENIA;,a,,c,,y,,7,,aa,,ac,,ad,,ae,,3,,ah,,ao,,ap,,6,,,;,a,,c,,ao,,ap,,,;,a,,c,,ao,,ap,,,
MEDIANA;;;
;X;Y;XY
LICZBA PUNKTÓW ODNIESIENIA;13/49;4/49;4/49
PROCENT PUNKTÓW ODNIESIENIA;26.53;8.16;8.16
LISTA PUNKTÓW ODNIESIENIA;,a,,c,,y,,7,,aa,,ac,,ad,,ae,,3,,ah,,ao,,ap,,6,,,;,a,,c,,ao,,ap,,,;,a,,c,,ao,,ap,,,
MODA;;;
;X;Y;XY
LICZBA PUNKTÓW ODNIESIENIA;13/49;4/49;4/49
PROCENT PUNKTÓW ODNIESIENIA;26.53;8.16;8.16
LISTA PUNKTÓW ODNIESIENIA;,a,,c,,y,,7,,aa,,ac,,ad,,ae,,3,,ah,,ao,,ap,,6,,,;,a,,c,,ao,,ap,,,;,a,,c,,ao,,ap,,,
PERCENTYL-10;;;
;X;Y;XY
LICZBA PUNKTÓW ODNIESIENIA;13/49;4/49;4/49
PROCENT PUNKTÓW ODNIESIENIA;26.53;8.16;8.16
